sortie_id,report_date,front_image,back_image,back_reviewed,audit_status,audited_front,audited_back,timing_checked,route_checked,events_checked,notes
434BS_1944-10-01,1944-10-01,IMG_3362.JPG,IMG_3363.JPG,no,pending,,,,,,
82BS_1944-10-01_B,1944-10-01,IMG_3363.JPG,IMG_3364.JPG,no,pending,,,,,,
81BS_1944-10-02,1944-10-02,IMG_3373.JPG,IMG_3374.JPG,no,pending,,,,,,
82BS_1944-10-02,1944-10-02,IMG_3369.JPG,IMG_3370.JPG,no,pending,,,,,,
83BS_1944-10-02,1944-10-02,IMG_3368.JPG,IMG_3369.JPG,no,pending,,,,,,
81BS_1944-10-03_B,1944-10-03,IMG_3380.JPG,IMG_3381.JPG,no,pending,,,,,,
82BS_1944-10-03_B,1944-10-03,IMG_3378.JPG,IMG_3379.JPG,no,pending,,,,,,
83BS_1944-10-03,1944-10-03,IMG_3377.JPG,IMG_3378.JPG,no,pending,,,,,,
434BS_1944-10-04,1944-10-04,IMG_3386.JPG,IMG_3387.JPG,no,pending,,,,,,
81BS_1944-10-05_B,1944-10-05,IMG_3394.JPG,IMG_3395.JPG,no,pending,,,,,,
82BS_1944-10-05,1944-10-05,IMG_3393.JPG,IMG_3394.JPG,no,pending,,,,,,
434BS_1944-10-06,1944-10-06,IMG_3399.JPG,IMG_3400.JPG,no,pending,,,,,,
81BS_1944-10-06,1944-10-06,IMG_3403.JPG,IMG_3404.JPG,no,pending,,,,,,
82BS_1944-10-06,1944-10-06,IMG_3414.JPG,IMG_3415.JPG,no,pending,,,,,,
83BS_1944-10-06,1944-10-06,IMG_3401.JPG,IMG_3402.JPG,no,pending,,,,,,
434BS_1944-10-07,1944-10-07,IMG_3405.JPG,IMG_3406.JPG,no,pending,,,,,,
81BS_1944-10-07,1944-10-07,IMG_3418.JPG,IMG_3419.JPG,no,pending,,,,,,
82BS_1944-10-07,1944-10-07,IMG_3416.JPG,IMG_3417.JPG,no,pending,,,,,,
434BS_1944-10-10,1944-10-10,IMG_3424.JPG,IMG_3425.JPG,no,pending,,,,,,
81BS_1944-10-10,1944-10-10,IMG_3430.JPG,IMG_3431.JPG,no,pending,,,,,,
82BS_1944-10-10,1944-10-10,IMG_3427.JPG,IMG_3428.JPG,no,pending,,,,,,
434BS_1944-10-11,1944-10-11,IMG_3437.JPG,IMG_3438.JPG,no,pending,,,,,,
81BS_1944-10-11,1944-10-11,IMG_3443.JPG,IMG_3444.JPG,no,pending,,,,,,
82BS_1944-10-11,1944-10-11,IMG_3439.JPG,IMG_3440.JPG,yes,pending,,,,,,
434BS_1944-10-12,1944-10-12,IMG_3449.JPG,IMG_3450.JPG,no,pending,,,,,,
81BS_1944-10-12,1944-10-12,IMG_3452.JPG,IMG_3453.JPG,no,pending,,,,,,
82BS_1944-10-13,1944-10-13,IMG_3457.JPG,IMG_3458.JPG,no,pending,,,,,,
83BS_1944-10-13,1944-10-13,IMG_3459.JPG,IMG_3460.JPG,no,pending,,,,,,
434BS_1944-10-15,1944-10-15,IMG_3465.JPG,IMG_3466.JPG,no,pending,,,,,,
81BS_1944-10-15,1944-10-15,IMG_3469.JPG,IMG_3470.JPG,no,pending,,,,,,
82BS_1944-10-15,1944-10-15,IMG_3467.JPG,IMG_3468.JPG,no,pending,,,,,,
434BS_1944-10-16,1944-10-16,IMG_3478.JPG,IMG_3479.JPG,no,pending,,,,,,
81BS_1944-10-16,1944-10-16,IMG_3483.JPG,IMG_3484.JPG,no,pending,,,,,,
82BS_1944-10-16,1944-10-16,IMG_3481.JPG,IMG_3482.JPG,no,pending,,,,,,
81BS_1944-10-17_SUPP,1944-10-17,IMG_3489.JPG,IMG_3490.JPG,no,pending,,,,,,
81BS_1944-10-18,1944-10-18,IMG_3496.JPG,IMG_3497.JPG,no,pending,,,,,,
82BS_1944-10-18,1944-10-18,IMG_3491.JPG,IMG_3492.JPG,yes,pending,,,,,,
83BS_1944-10-18,1944-10-18,IMG_3490.JPG,IMG_3491.JPG,no,pending,,,,,,
434BS_1944-10-19,1944-10-19,IMG_3506.JPG,IMG_3507.JPG,no,pending,,,,,,
434BS_1944-10-19_A,1944-10-19,IMG_3498.JPG,IMG_3499.JPG,no,pending,,,,,,
82BS_1944-10-19,1944-10-19,IMG_3500.JPG,IMG_3501.JPG,no,pending,,,,,,
82BS_1944-10-19_B,1944-10-19,IMG_3508.JPG,IMG_3509.JPG,no,pending,,,,,,
83BS_1944-10-19_A,1944-10-19,IMG_3503.JPG,IMG_3504.JPG,no,pending,,,,,,
83BS_1944-10-19_B,1944-10-19,IMG_3507.JPG,IMG_3508.JPG,no,pending,,,,,,
434BS_1944-10-20,1944-10-20,IMG_3514.JPG,IMG_3515.JPG,no,pending,,,,,,
81BS_1944-10-20,1944-10-20,IMG_3517.JPG,IMG_3518.JPG,no,pending,,,,,,
434BS_1944-10-21,1944-10-21,IMG_3521.JPG,IMG_3522.JPG,no,pending,,,,,,
434BS_1944-10-21_B,1944-10-21,IMG_3530.JPG,IMG_3531.JPG,no,pending,,,,,,
81BS_1944-10-21_A,1944-10-21,IMG_3552.JPG,IMG_3553.JPG,no,pending,,,,,,
81BS_1944-10-21_B,1944-10-21,IMG_3524.JPG,IMG_3525.JPG,yes,pending,,,,,,
82BS_1944-10-21,1944-10-21,IMG_3523.JPG,IMG_3524.JPG,no,pending,,,,,,
82BS_1944-10-21_B,1944-10-21,IMG_3553.JPG,IMG_3554.JPG,no,pending,,,,,,
81BS_1944-10-22,1944-10-22,IMG_3546.JPG,IMG_3547.JPG,no,pending,,,,,,
82BS_1944-10-22_B,1944-10-22,IMG_3549.JPG,IMG_3550.JPG,no,pending,,,,,,
83BS_1944-10-22,1944-10-22,IMG_3547.JPG,IMG_3548.JPG,no,pending,,,,,,
434BS_1944-10-23,1944-10-23,IMG_3539.JPG,IMG_3540.JPG,no,pending,,,,,,
82BS_1944-10-23_A,1944-10-23,IMG_3535.JPG,IMG_3536.JPG,no,pending,,,,,,
82BS_1944-10-23_B,1944-10-23,IMG_3537.JPG,IMG_3538.JPG,no,pending,,,,,,
434BS_1944-10-24,1944-10-24,IMG_3556.JPG,IMG_3557.JPG,no,pending,,,,,,
81BS_1944-10-24,1944-10-24,IMG_3559.JPG,IMG_3560.JPG,no,pending,,,,,,
83BS_1944-10-24,1944-10-24,IMG_3558.JPG,IMG_3559.JPG,no,pending,,,,,,
82BS_1944-10-30_MU_RIVER_BYPASS,1944-10-30,IMG_3570.JPG,IMG_3571.JPG,yes,classified,yes,yes,,,front scan confirms 30 Oct 1944 82nd Squadron Mu River by-pass bridge mission; reviewed reverse page retained
82BS_1944-10-26,1944-10-26,IMG_3578.JPG,IMG_3579.JPG,no,pending,,,,,,
434BS_1944-10-29_AIRRADAR,1944-10-29,IMG_3591.JPG,IMG_3592.JPG,yes,classified,yes,yes,,,classified from front header as 434th Squadron
81BS_1944-10-29_BR201,1944-10-29,IMG_3595.JPG,IMG_3596.JPG,yes,classified,yes,yes,,,classified from front header as 81st Squadron
81BS_1944-10-26_BR433,1944-10-26,IMG_3603.JPG,IMG_3604.JPG,no,classified,yes,no,,,front scan confirms 26 Oct 1944 81st Squadron; IMG_3604 is separate 83rd sortie front
82BS_1944-10-26_BR4_LEWE,1944-10-26,IMG_3605.JPG,IMG_3606.JPG,yes,classified,yes,yes,,,front and reverse confirm 26 Oct 1944 82nd Squadron RR bridge #4 at Lewe
